year,1950-1980,1980-2010,2010-2023
"1,950",0.101,,
"1,951",0.106,,
"1,952",0.094,,
"1,953",0.107,,
"1,954",0.092,,
"1,955",0.094,,
"1,956",0.094,,
"1,957",0.101,,
"1,958",0.076,,
"1,959",0.093,,
"1,960",0.091,,
"1,961",0.107,,
"1,962",0.081,,
"1,963",0.091,,
"1,964",0.107,,
"1,965",0.092,,
"1,966",0.082,,
"1,967",0.091,,
"1,968",0.096,,
"1,969",0.075,,
"1,970",0.096,,
"1,971",0.064,,
"1,972",0.091,,
"1,973",0.134,,
"1,974",0.107,,
"1,975",0.096,,
"1,976",0.084,,
"1,977",0.091,,
"1,978",0.091,,
"1,979",0.103,,
"1,980",0.087,0.087,
"1,981",,0.095,
"1,982",,0.102,
"1,983",,0.121,
"1,984",,0.115,
"1,985",,0.098,
"1,986",,0.088,
"1,987",,0.073,
"1,988",,0.068,
"1,989",,0.091,
"1,990",,0.108,
"1,991",,0.121,
"1,992",,0.079,
"1,993",,0.106,
"1,994",,0.089,
"1,995",,0.108,
"1,996",,0.11,
"1,997",,0.1,
"1,998",,0.11,
"1,999",,0.095,
"2,000",,0.087,
"2,001",,0.093,
"2,002",,0.114,
"2,003",,0.097,
"2,004",,0.113,
"2,005",,0.071,
"2,006",,0.095,
"2,007",,0.08,
"2,008",,0.114,
"2,009",,0.105,
"2,010",,0.087,0.087
"2,011",,,0.126
"2,012",,,0.081
"2,013",,,0.114
"2,014",,,0.093
"2,015",,,0.098
"2,016",,,0.099
"2,017",,,0.124
"2,018",,,0.098
"2,019",,,0.121
"2,020",,,0.108
"2,021",,,0.093
"2,022",,,0.115
"2,023",,,0.086
